"ESTUDIO";"REGISTRO";"CUES";"CCAA";"PROV";"MUN";"CAPITAL";"TAMUNI";"ENTREV";"TIPO_TEL";"SEXO";"EDAD";"P0";"P1";"P2";"P3";"ECOPER";"ECOESP";"P6_1";"P6_2";"P6_3";"P6_4";"P6_5";"P6_6";"P6_7";"P6_8";"P6_9";"P6_10";"P6_11";"P6_12";"PESPANNA1";"PESPANNA2";"PESPANNA3";"PPERSONAL1";"PPERSONAL2";"PPERSONAL3";"PREFPTE";"PROBVOTO";"INTENCIONG";"INTENCIONGALTER";"SIMPATIA";"ESCIDEOL";"LIDERESCONOCE_1";"LIDERESCONOCE_2";"LIDERESCONOCE_3";"LIDERESCONOCE_4";"VALORALIDERES_1";"VALORALIDERES_2";"VALORALIDERES_3";"VALORALIDERES_4";"CONOMINIS_1";"CONOMINIS_2";"CONOMINIS_3";"CONOMINIS_4";"CONOMINIS_5";"CONOMINIS_6";"CONOMINIS_7";"CONOMINIS_8";"CONOMINIS_9";"CONOMINIS_10";"CONOMINIS_11";"CONOMINIS_12";"CONOMINIS_13";"CONOMINIS_14";"CONOMINIS_15";"CONOMINIS_16";"CONOMINIS_17";"CONOMINIS_18";"CONOMINIS_19";"CONOMINIS_20";"CONOMINIS_21";"VALMINIS_1";"VALMINIS_2";"VALMINIS_3";"VALMINIS_4";"VALMINIS_5";"VALMINIS_6";"VALMINIS_7";"VALMINIS_8";"VALMINIS_9";"VALMINIS_10";"VALMINIS_11";"VALMINIS_12";"VALMINIS_13";"VALMINIS_14";"VALMINIS_15";"VALMINIS_16";"VALMINIS_17";"VALMINIS_18";"VALMINIS_19";"VALMINIS_20";"VALMINIS_21";"CONOEXMIN";"VALEXMIN";"CONONUMIN";"VALNUMIN";"CONFIANZAPTE";"CONFIANZAOPOSIC";"PARTICIPACIONG";"RECUVOTOG";"CERCANIA";"ESCUELA";"NIVELESTENTREV";"RELIGION";"PRACTICARELIG6";"ECIVIL";"SITLAB";"RELALAB";"CNO11";"INGRESHOG";"CLASESOCIAL";"SINCERIDAD";"IA_I501";"IA_I502";"IA_I503";"IA_I504";"IA_I505";"IA_I506";"IA_I507";"IA_I508";"IA_I509";"IA_I510";"IA_I511";"IA_I512";"IA_I513";"IA_I514";"IA_I515";"IA_I516";"IA_I517";"IA_I518";"IA_I519";"IA_I520";"IA_I521";"IA_I522";"IA_I523";"IA_I524";"IA_I525";"IA_I526";"IA_I528";"IA_I529";"IA_I530";"IA_I531";"IA_I532";"IA_I533";"IA_I534";"IA_I535";"IA_I536";"IA_I537";"IA_I538";"IA_I539";"IA_I540";"IA_I541";"IA_I542";"IA_I543";"IA_OBS1";"IA_OBS2";"IA_E1_DIA";"IA_E1_MES";"IA_E1_ANYO";"IA_E2";"IA_E3";"IA_E4";"IA_VALIDA";"IA_APLAZADA";"IA_MODIFICADA";"IA_SUPERVISADA";"IA_C2";"IA_C2A";"IA_C2B_1";"IA_C2B_2";"IA_C2B_3";"IA_C2B_4";"IA_C2B_5";"IA_C2B_6";"IA_C2B_7";"IA_C2B_8";"IA_C2B_9";"IA_C2B_10";"IA_C2B_11";"IA_C2B_12";"IA_C2B_13";"IA_C2B_14";"IA_C2B_15";"IA_C2B_16";"IA_C2B_17";"IA_C2B_18";"IA_C2B_19";"IA_C2B_20";"IA_C2B_21";"IA_C2B_22";"IA_C2B_23";"IA_C2B_24";"IA_C2B_25";"IA_C3";"IA_C4";"INTENCIONGR";"INTENCIONGALTERR";"VOTOSIMG";"RECUVOTOGR";"RECUERDO";"ESTUDIOS";"CNO11R";"CLASESUB";"PESO";"PESOCCAA"
3435;23986;1236;19;52;1;1;4;0;2;1;23;1;1;3;3;4;2;1;2;1;2;1;1;1;2;2;1;1;2;18;11;45;11;18;45;1;8;1;6;0;3;1;1;1;1;8;5;5;2;7;7;7;7;1;7;7;1;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;5;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;7;0;2;3;1;1;1;3;7;3;4;2;6;0;0;5;3;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;13;0;0;0;0;8;0;"";"";2;1;24;2;13;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;6;1;1;1;5;13;2;0,21563;0,80545
3435;24004;1237;13;28;74;3;5;0;2;1;63;1;1;3;3;2;4;2;2;2;1;1;1;1;2;2;1;2;2;24;7;999;24;7;997;97;10;2;9993;0;5;1;1;1;1;2;5;3;1;1;1;1;7;1;1;7;1;7;1;7;1;1;1;7;1;1;1;7;7;7;98;98;98;0;3;98;0;98;0;98;0;98;98;98;0;98;98;98;0;0;0;1;7;7;0;4;2;1;1;2;3;7;2;1;1;1;1;3;4;97;1;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;18;0;0;0;0;18;1;"";"";2;1;24;2;20;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";2;9993;2;1;1;5;3;6;0,47589;1,32567
3435;24102;1238;9;8;0;3;4;0;2;2;22;1;1;4;2;4;5;1;1;1;1;1;2;2;2;2;1;2;2;82;6;20;82;7;998;97;5;9998;0;8;2;1;7;7;1;5;0;0;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;7;0;3;0;2;0;9998;3;7;4;0;2;1;1;3;2;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;10;1;"";"";2;1;24;2;16;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";9998;0;8;0;9997;5;3;4;1,03717;2,7061
3435;24106;1239;3;33;0;3;3;0;2;1;73;1;1;9;2;3;3;1;2;2;1;9;2;2;2;2;2;2;2;20;1;51;29;16;997;1;10;8995;9993;0;1;1;1;1;1;8;5;10;1;1;1;1;7;1;1;1;1;7;1;7;7;7;7;7;1;1;1;7;7;7;8;7;7;0;10;10;10;9;0;6;0;0;0;0;0;8;10;7;0;0;0;1;8;7;0;2;4;1;8995;8995;1;0;5;0;3;2;0;0;8;5;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;"";"";2;1;24;2;25;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8995;9993;8995;8995;8995;1;12;4;1,97823;1,08257
3435;24132;1240;16;1;0;3;1;0;1;1;48;1;2;2;2;2;2;1;2;2;1;2;1;2;2;1;2;2;2;8;13;6;6;998;999;4;8;21;8;0;4;1;1;1;1;7;5;8;1;7;7;1;1;1;7;1;1;7;1;7;7;1;7;7;1;1;7;7;7;1;0;0;6;7;8;0;8;7;0;8;0;0;6;0;0;8;8;0;0;0;7;1;8;7;0;2;3;1;21;21;3;7;5;0;1;1;1;7;4;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;5;0;"";"";2;1;24;2;16;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";21;8;21;21;21;5;7;2;0,72477;1,00772
3435;24151;1241;13;28;79;1;7;0;2;1;53;1;2;3;2;3;2;2;2;1;1;1;1;2;2;1;2;1;2;996;8;1;996;8;999;1;10;21;1;0;3;1;1;1;1;8;2;10;1;1;1;1;7;1;1;1;1;7;1;1;1;1;7;7;1;1;1;7;7;1;7;9;7;0;10;7;6;7;0;9;6;7;10;0;0;9;6;8;0;0;9;1;8;1;8;1;4;1;21;21;3;11;4;0;2;1;1;2;4;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;12;0;"";"";2;1;24;2;18;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";21;1;21;21;21;6;2;2;0,48585;0,77236
3435;24156;1242;1;41;38;3;5;0;2;1;42;1;2;1;1;2;2;1;2;1;1;1;1;1;2;1;2;1;2;56;18;13;80;8;7;1;10;8;21;0;1;1;1;1;1;3;1;2;1;1;7;1;1;1;1;1;1;1;1;7;1;1;1;7;1;1;1;7;1;7;5;0;5;10;3;5;5;5;5;5;0;5;5;5;0;5;5;5;0;5;0;1;4;7;0;2;4;1;21;8;3;4;5;0;1;1;1;3;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";2;1;24;2;17;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8;21;8;21;21;3;3;3;2,53039;0,88994
3435;24179;1243;13;28;0;3;3;0;2;1;43;1;5;5;5;1;5;2;2;1;1;1;2;2;2;2;2;2;2;24;23;51;35;8;23;3;10;3;9997;0;5;1;1;1;1;1;3;1;8;1;7;1;7;1;1;7;1;7;1;7;1;1;7;7;1;1;7;7;7;7;1;0;1;0;1;1;0;1;0;1;0;1;1;0;0;1;1;0;0;0;0;1;1;7;0;4;3;1;3;3;3;7;2;1;2;1;1;3;2;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;"";"";2;1;24;2;19;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";3;9997;3;3;3;5;3;2;0,64414;0,80107
3435;24207;1244;15;31;201;1;5;0;2;1;40;1;4;3;2;4;5;2;2;2;1;1;2;2;2;2;1;1;2;24;999;999;24;999;999;97;10;9998;0;9997;5;1;1;1;1;1;3;1;2;1;1;1;7;1;1;1;1;7;1;7;1;1;7;1;1;1;1;1;7;1;2;1;1;0;1;2;1;1;0;1;0;3;1;0;3;1;2;1;2;0;1;1;2;7;0;4;3;1;8996;9997;3;5;5;0;1;1;1;7;5;4;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;"";"";2;1;24;2;17;3;1;0;0;1;6;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0;9998;0;9997;8996;8996;5;7;3;0,63173;0,90805
3435;24258;1245;5;38;38;1;5;0;2;2;56;1;1;1;1;4;2;1;1;2;1;1;1;1;1;1;2;2;2;1;6;46;1;6;51;4;10;21;1;0;1;1;1;1;1;6;5;7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;7;6;8;8;8;7;8;8;6;7;6;6;7;6;6;6;8;8;5;8;7;1;8;7;0;3;3;1;21;21;3;11;2;2;1;4;0;0;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;"";"";2;1;24;2;14;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";21;1;21;21;21;6;16;2;0,45695;0,884
